URL,Titulo,Enlace,Copete,Seccion
https://www.eltribuno.com/salta,"
El Inter venció al Milan en la ida de las semifinales de la Champions League 
",https://www.eltribuno.com//salta/nota/2023-5-10-16-22-0-el-inter-vence-al-milan-en-la-ida-de-las-semifinales-de-la-champions-league,"10 DE Mayo 2023 - 22:04
                                En el duelo entre italianos por la segunda semifinal de la Champions, el Inter madrugó al Milan y le ganó por 2 a 0 en el Giuseppe Meazza.",Inter
https://www.eltribuno.com/salta,"
Los salarios subieron 10,1% en marzo y le ganaron a la inflación
",https://www.eltribuno.com//salta/nota/2023-5-10-16-50-0-los-salarios-subieron-10-1-en-marzo-y-le-ganaron-a-la-inflacion,"10 DE Mayo 2023 - 16:52
                                El indicador acumula una suba de 22,2% en el primer trimestre del año.",Economía
https://www.eltribuno.com/salta,"
Inés Liendo disparó contra Matías Posadas 
",https://www.eltribuno.com//salta/nota/2023-5-10-12-8-0-ines-liendo-disparo-contra-matias-posadas,"10 DE Mayo 2023 - 12:15
                                La abogada y referente del PRO en Salta, Inés Liendo, fue entrevistada ayer por una radio de capital, con relación al proceso electoral del próximo domingo.",Salta
https://www.eltribuno.com/salta,"
La policía encontró a Benjamín, el niño que era intensamente buscado 
",https://www.eltribuno.com//salta/nota/2023-5-10-10-43-0-la-policia-encontro-a-benjamin-el-nino-que-era-intensamente-buscado,"10 DE Mayo 2023 - 11:29
                                El niño de 11 años era intensamente buscado desde el pasado 8 de mayo. Se encuentra en perfecto estado de salud",policiales
https://www.eltribuno.com/salta,"
La escuela Mariano Moreno festejó 50 años
",https://www.eltribuno.com//salta/nota/2023-5-10-13-9-0-la-escuela-mariano-moreno-festejo-50-anos,"10 DE Mayo 2023 - 14:57
                                Hubo un emotivo acto en el que participó toda la comunidad educativa, de barrio El Tribuno.",Escuela Mariano Moreno.
https://www.eltribuno.com/salta,"
Refugio ante la inflación: creció la venta de inmuebles en la provincia
",https://www.eltribuno.com//salta/nota/2023-5-10-0-0-0-refugio-ante-la-inflacion-crecio-la-venta-de-inmuebles-en-la-provincia,"10 DE Mayo 2023 - 09:44
                                Las operaciones aumentaron un 27% interanual en el primer trimestre. En tanto, los precios de las viviendas cayeron un 19% con respecto al año pasado.",Crisis Económica
https://www.eltribuno.com/salta,"
La Policía Federal desarticuló una organización narco en Orán
",https://www.eltribuno.com//salta/nota/2023-5-10-0-0-0-la-policia-federal-desarticulo-una-organizacion-narco-en-oran,"10 DE Mayo 2023 - 03:39
                                Cinco personas fueron puestas a disposición de la Justicia.Según los investigadores, en la banda tenían roles específicos",policiales
https://www.eltribuno.com/salta,"
Uñac calificó de ""desconsiderada"" la decisión de la Corte Suprema y cargó contra Juntos por el Cambio
",https://www.eltribuno.com//salta/nota/2023-5-10-11-43-0-sergio-unac-califico-de-desconsiderada-la-decision-de-la-corte-suprema-y-cargo-contra-juntos-por-el-cambio,"10 DE Mayo 2023 - 11:47
                                En un mensaje medido, el gobernador de San Juan ratificó además las elecciones legislativas y municipales, y acusó al Máximo Tribunal de tomar ""decisiones conjunta con dirigentes políticos"".",elecciones 2023
https://www.eltribuno.com/salta,"
Fragilidad educativa
",https://www.eltribuno.com//salta/carta-lectores/1643430698864/#0,,
https://www.eltribuno.com/salta,"
Rutas peligrosas
",https://www.eltribuno.com//salta/carta-lectores/1643430698864/#1,,
https://www.eltribuno.com/salta,"
Dr. Angel González Roffo
",https://www.eltribuno.com//salta/carta-lectores/1638662645700/#0,,
https://www.eltribuno.com/salta,"
Vacunas y algo más
",https://www.eltribuno.com//salta/carta-lectores/1624840905786/#0,,
https://www.eltribuno.com/salta,"
Pérdidas irreparables
",https://www.eltribuno.com//salta/carta-lectores/1624840905786/#1,,
https://www.eltribuno.com/salta,"
Acto politizado
",https://www.eltribuno.com//salta/carta-lectores/1624146328719/#0,,
https://www.eltribuno.com/salta,"
Distinta vara
",https://www.eltribuno.com//salta/carta-lectores/1624146328719/#1,,
https://www.eltribuno.com/salta,"
Informar sobre vacunas
",https://www.eltribuno.com//salta/carta-lectores/1619307790274/#0,,
https://www.eltribuno.com/salta,"
 ""Además de regalías, Remsa tiene participación a través de proyectos""     
",https://www.eltribuno.com//salta/nota/2023-5-6-19-52-0-ademas-de-regalias-remsa-tiene-participacion-a-traves-de-proyectos,"6 DE Mayo 2023 - 19:54
                                Entrevista a Alberto Castillo, presidente de Recursos Energéticos y Mineros de Salta.",Minería en Salta
